"Story","Title","Result","Date","Stability","Duration (s)"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","ERROR","2023-03-23T10:19:57.722362+05:30[Asia/Calcutta]","0.0","17.18"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","ERROR","2023-03-23T10:20:17.0100604+05:30[Asia/Calcutta]","0.0","0.16"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","ERROR","2023-03-23T10:20:17.2219348+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","ERROR","2023-03-23T10:20:17.3948332+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","ERROR","2023-03-23T10:20:17.504769+05:30[Asia/Calcutta]","0.0","0.11"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","ERROR","2023-03-23T10:20:17.639693+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","ERROR","2023-03-23T10:20:17.7866031+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","ERROR","2023-03-23T10:20:17.9345171+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","ERROR","2023-03-30T13:06:15.3267536+05:30[Asia/Calcutta]","0.0","0.8"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","ERROR","2023-03-30T13:06:16.3970314+05:30[Asia/Calcutta]","0.0","0.19"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","ERROR","2023-03-30T13:06:16.6398885+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","ERROR","2023-03-30T13:06:16.8157851+05:30[Asia/Calcutta]","0.0","0.16"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","ERROR","2023-03-30T13:06:17.0076697+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","ERROR","2023-03-30T13:06:17.1755705+05:30[Asia/Calcutta]","0.0","0.08"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","ERROR","2023-03-30T13:06:17.3024944+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","ERROR","2023-03-30T13:06:17.4873864+05:30[Asia/Calcutta]","0.0","0.13"
"Test Case scenario for Services Page","User try to login to the SRK homepage with valid ID and password","ERROR","2023-04-07T11:58:17.3452347+05:30[Asia/Calcutta]","0.0","25.29"
