"Story","Title","Result","Date","Stability","Duration (s)"
"Test Cases for Customer Page","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-11T13:26:07.6230541+05:30[Asia/Calcutta]","0.0","33.52"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","SUCCESS","2023-04-03T12:12:10.2019931+05:30[Asia/Calcutta]","0.0","25.31"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","SUCCESS","2023-04-03T12:12:35.6571211+05:30[Asia/Calcutta]","0.0","6.93"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","SUCCESS","2023-04-03T12:12:42.6046229+05:30[Asia/Calcutta]","0.0","6.85"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","SUCCESS","2023-04-03T12:12:49.4659053+05:30[Asia/Calcutta]","0.0","6.75"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","SUCCESS","2023-04-03T12:12:56.2250464+05:30[Asia/Calcutta]","0.0","6.74"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","SUCCESS","2023-04-03T12:13:02.9870229+05:30[Asia/Calcutta]","0.0","6.59"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","SUCCESS","2023-04-03T12:13:09.6007372+05:30[Asia/Calcutta]","0.0","6.72"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-03T12:13:16.349175+05:30[Asia/Calcutta]","0.0","7.6"
"Test Case scenario for Services Page","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-10T09:54:08.3448055+05:30[Asia/Calcutta]","0.0","30.4"
