"Story","Title","Result","Date","Stability","Duration (s)"
"Test Cases for Customer Page","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-11T13:26:07.6230541+05:30[Asia/Calcutta]","0.0","33.52"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","ERROR","2023-03-23T10:19:57.722362+05:30[Asia/Calcutta]","0.0","17.18"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","ERROR","2023-03-23T10:20:17.0100604+05:30[Asia/Calcutta]","0.0","0.16"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","ERROR","2023-03-23T10:20:17.2219348+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","ERROR","2023-03-23T10:20:17.3948332+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","ERROR","2023-03-23T10:20:17.504769+05:30[Asia/Calcutta]","0.0","0.11"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","ERROR","2023-03-23T10:20:17.639693+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","ERROR","2023-03-23T10:20:17.7866031+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","ERROR","2023-03-23T10:20:17.9345171+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","PENDING","2023-03-23T13:25:09.0970769+05:30[Asia/Calcutta]","0.0","0.58"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","PENDING","2023-03-23T13:25:09.7008523+05:30[Asia/Calcutta]","0.0","0.05"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","PENDING","2023-03-23T13:25:09.7818037+05:30[Asia/Calcutta]","0.0","0.06"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","PENDING","2023-03-23T13:25:09.8647514+05:30[Asia/Calcutta]","0.0","0.08"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","PENDING","2023-03-23T13:25:09.9826786+05:30[Asia/Calcutta]","0.0","0.05"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","PENDING","2023-03-23T13:25:10.0596299+05:30[Asia/Calcutta]","0.0","0.08"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","PENDING","2023-03-23T13:25:10.1615689+05:30[Asia/Calcutta]","0.0","0.03"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","PENDING","2023-03-23T13:25:10.2125351+05:30[Asia/Calcutta]","0.0","0.03"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","ERROR","2023-03-30T13:06:15.3267536+05:30[Asia/Calcutta]","0.0","0.8"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","ERROR","2023-03-30T13:06:16.3970314+05:30[Asia/Calcutta]","0.0","0.19"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","ERROR","2023-03-30T13:06:16.6398885+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","ERROR","2023-03-30T13:06:16.8157851+05:30[Asia/Calcutta]","0.0","0.16"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","ERROR","2023-03-30T13:06:17.0076697+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","ERROR","2023-03-30T13:06:17.1755705+05:30[Asia/Calcutta]","0.0","0.08"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","ERROR","2023-03-30T13:06:17.3024944+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","ERROR","2023-03-30T13:06:17.4873864+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username","SUCCESS","2023-04-03T12:12:10.2019931+05:30[Asia/Calcutta]","0.0","25.31"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","SUCCESS","2023-04-03T12:12:35.6571211+05:30[Asia/Calcutta]","0.0","6.93"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","SUCCESS","2023-04-03T12:12:42.6046229+05:30[Asia/Calcutta]","0.0","6.85"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","SUCCESS","2023-04-03T12:12:49.4659053+05:30[Asia/Calcutta]","0.0","6.75"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","SUCCESS","2023-04-03T12:12:56.2250464+05:30[Asia/Calcutta]","0.0","6.74"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","SUCCESS","2023-04-03T12:13:02.9870229+05:30[Asia/Calcutta]","0.0","6.59"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","SUCCESS","2023-04-03T12:13:09.6007372+05:30[Asia/Calcutta]","0.0","6.72"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-03T12:13:16.349175+05:30[Asia/Calcutta]","0.0","7.6"
"Test Case scenario for Services Page","User try to login to the SRK homepage with valid ID and password","ERROR","2023-04-07T11:58:17.3452347+05:30[Asia/Calcutta]","0.0","25.29"
"Test Case scenario for Services Page","User try to login to easy automation website by entering valid username and password","SUCCESS","2023-04-10T09:54:08.3448055+05:30[Asia/Calcutta]","0.0","30.4"
